activityID,name,description,outdoor,tags,streetAddress,rating,latitude,longitude,imgLink,moreInfoLink
artofthepie,Art of the Pie,Gather ingredients to bake a delicious pie in the comfort of your own home with your family!,FALSE,"family-friendly, baking, cooking, kitchen","Online, see link to more activity info",4,,,https://2rw8d345dax526rcgb121oh9-wpengine.netdna-ssl.com/wp-content/uploads/2015/11/applepie_mcdermott_artofthepie-copy.jpg,https://artofthepie.com/about/
babarrestaurant,Ba Bar Restaurant,Ba Bar is the place for authentic Vietnamese cuisine in Seattle. They use the high quality ingredients to create savory Pho that can be enjoyed in their dine-in patio or at home with takeout.,FALSE,"family-friendly, undercover, food, takeout, dine-in","550 12th Ave, Seattle, WA",4,47.607003,-122.316375,https://babarseattle.com/app/uploads/sites/3/2019/11/Header03.jpg,https://babarseattle.com/
bellevuebotanicalgarden,Bellevue Botanical Garden,"The Bellevue Botanical Garden is an urban refuge, encompassing 53-acres of cultivated gardens, restored woodlands, and natural wetlands. ",TRUE,"family-friendly, dogs allowed, relaxing","12001 Main St, Bellevue, WA 98005",4.5,47.609149,-122.178735,https://www.publicgardens.org/sites/default/files/styles/1000x400_garden_image/public/images/Garden/Bellevue%20Botanical%20Garden.jpg?itok=CqQca05T\,https://bellevuebotanical.org/
capedisappointmentstatepark,Cape Disappointment State Park,"Cape Disappointment is a 2,023-acre camping park on the Long Beach Peninsula, fronted by the Pacific Ocean and looking into the mouth of the Columbia River.",TRUE,"water, family-friendly, dogs allowed, nature","244 Robert Gray Dr, Ilwaco, WA 98624",4.7,46.29967338,-124.0654241,https://parks.state.wa.us/ImageRepository/Document?documentID=15758,https://parks.state.wa.us/486/Cape-Disappointment
cookingwithhellofresh,Cooking with HelloFresh,Signup for automatic grocery deliveries & healthy recipie recommendations to cook with your friends or family.,FALSE,"family-friendly, cooking, food","Online, see link to more activity info",4,,,https://thespoon.tech/wp-content/uploads/2018/03/HelloFresh.jpg,https://www.hellofresh.com/
crystalmountainskiresort,Crystal Mountain Ski Resort,The largest ski resort in Washington State with 2600 acres & over 50 named runs. Skiers & snowboarders from all over come to ride this world class terrain!,TRUE,"family-friendly, nature, skiing, snowboarding","33914 Crystal Mountain Blvd, Enumclaw, WA 98022",4.7,46.94697574,-121.482213,https://www.crystalmountainresort.com/-/media/widen/crystal-mountain/winter/landscapes/2005-11-01-cm-marketing-misc-crystal-mtn-panoramic-don-svela-jpg.ashx?h=1012&w=1800&hash=BDFE68C3975C7973F4BE174CA5D60431,https://www.crystalmountainresort.com/
driveandlistensimulator,Drive & Listen simulator,"The Drive & Listen website allows anyone to take a virtual drive around one of the app's 38 available cities, taking in the sights and sounds of the street as well as local radio stations. It can provide entertaining background noise & ambiance.",FALSE,"family-friendly, relaxing, online","Online, see link to more activity info",4,,,https://play4.uk/wp-content/uploads/2020/08/drive-and-listen-app-travel-everywhere-with-them-4109-big-1.jpg,https://driveandlisten.herokuapp.com/?ref=producthunt
ferrytobainbridgeisland,Ferry to Bainbridge Island,Drive onto the ferry (no reservations required) from Seattle and head to Bainbridge Island for a scenic and relaxing trip with delicious food spots.,TRUE,"family-friendly, nature, water, car, food",,4.5,47.602472,-122.338142,https://mathisexterminating.com/wp-content/uploads/2020/01/service-areas-bainbridge-island.jpg,https://www.bainbridgeisland.com/
funkopophq,Funko Pop HQ,Grab your friends and family and visit the Funko Pop Store in Everett and create custom Funko Pops that look like you!,FALSE,"family-friendly, Funko Pops, craft","2802 Wetmore Ave, Everett, WA 98201",4.8,47.980416,-122.2076089,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F6%2F2020%2F12%2F03%2FSelena-Funko.jpg,https://www.funko.com/
gasworksparkpicnic,Gas Works Park Picnic,Gas Works Park is a large historic park next to Lake Union that's great for picnics & watching the sunset.,TRUE,"water, family-friendly, dogs allowed, undercover, food","2101 N Northlake Way, Seattle, WA 98103",4.7,47.646224,-122.333705,https://www.seattle.gov/images/Departments/ParksAndRecreation/Parks/GHI/GasWorksPark2.jpg,https://www.seattle.gov/parks/find/parks/gas-works-park
kubotagarden,Kubota Garden,"Hidden in South Seattle, Kubota Garden is a stunning 20 acre landscape that blends Japanese garden concepts with native Northwest plants. Make your way through the beautiful garden and say hello to the majestic koi fish!",TRUE,"garden, family-friendly, nature, flowers, fish, Seattle","9817 55th Ave. S, Seattle, WA 98178",4.7,47.51299835,-122.2650049,https://static.seattletimes.com/wp-content/uploads/2020/07/110829-1020x680.jpg,https://www.seattle.gov/parks/find/parks/kubota-garden
lake22hike,Lake 22 Hike,"Lake 22 Trail is a popular 5.7 mile loop trail located near Granite Falls, Washington — best know for its waterfall. Requires: Northwest Forest Pass",TRUE,"water, family-friendly, dogs allowed, nature","33515 Mt Lp Hwy, Granite Falls, WA 98252",4.8,48.07839619,-121.7463986,https://www.wta.org/site_images/hikes/dscn7692.jpg/@@images/677deebb-bf08-4c88-adfc-ad09ea25a1f9.jpeg,https://www.wta.org/go-hiking/hikes/lake-22-lake-twenty-two
lakeunionhottubboats,Lake Union Hot Tub Boats,Enjoy the views of the beautiful Lake Union inside of a hot tub boat! Up to 5 people outside of your household.,TRUE,"hot tub, water, Seattle, boat","2401 N Northlake Way
Seattle WA, 98103",5,47.65044893,-122.3305472,https://www.lakeunionhottub.com/wp-content/uploads/2019/07/BlueBoatAboveBacklitAware.jpeg,https://www.lakeunionhottub.com/
marinapark,Marina Park,"Downtown and near many restaurant/shops, Marina Park features a beach, boats, and an open-air pavilion.",TRUE,"water, family-friendly, dogs allowed, undercover, food","25 Lakeshore Plaza Drive, Kirkland 98033",4.6,47.675351,-122.208369,https://www.kirklandwa.gov/files/assets/public/images/marinapark3retouched.jpg?dimension=pageimagefullwidth&w=1140,https://www.kirklandwa.gov/Government/Departments/Parks-and-Community-Services/Online-Parks-Guide/Marina-Park
